"Part;""Value"";""Device"";""Package"";""Description"";"""";"
"C1;""10nF"";""C-EU050-025X075"";""C050-025X075"";""CAPACITOR"
"C3;""100nF"";""C-EU050-025X075"";""C050-025X075"";""CAPACITOR"
"C4;""22uF"";""CPOL-EUE5-5"";""E5-5"";""POLARIZED CAPACITOR"
"C5;""10uF"";""CPOL-EUE5-5"";""E5-5"";""POLARIZED CAPACITOR"
"D16;""1N4148DO35-10"";""1N4148DO35-10"";""DO35-10"";""DIODE"";"""";"
"IC1;""LM555N"";""LM555N"";""DIL08"";""TIMER"";"""";"
"IC2;""74S05N"";""74S05N"";""DIL14"";""Hex INVERTER"
"POWER;"""";""10-XX"";""B3F-10XX"";""OMRON SWITCH"";"""";"
"PWR;"""";""LED5MM"";""LED5MM"";""LED"";"""";"
"R1;""12K"";""R-EU_0207/10"";""0207/10"";""RESISTOR"
"R2;""10k"";""R-EU_0207/10"";""0207/10"";""RESISTOR"
"R3;""470"";""R-EU_0207/10"";""0207/10"";""RESISTOR"
"RESET;"""";""10-XX"";""B3F-10XX"";""OMRON SWITCH"";"""";"
